team_number,auto_balance_fail_percentage,auto_balance_success_percentage,average_auto_cones,average_auto_cubes,average_tele_cones,average_tele_cubes,number_of_matches,tele_balance_fail_percentage,tele_balance_success_percentage,total_auto_game_objects,total_tele_game_objects
93,12.5%,37.5%,0.0,0.75,2.625,1.375,8,0%,62.5%,0.75,4.0
537,28.57142857142857%,57.14285714285714%,0.2857142857142857,0.5714285714285714,0.7142857142857143,4.0,7,0%,100.0%,0.8571428571428571,4.714285714285714
706,42.857142857142854%,28.57142857142857%,0.7142857142857143,0.0,2.142857142857143,0.5714285714285714,7,28.57142857142857%,57.14285714285714%,0.7142857142857143,2.7142857142857144
930,14.285714285714285%,0%,0.7142857142857143,0.2857142857142857,5.0,2.0,7,14.285714285714285%,42.857142857142854%,1.0,7.0
1091,0%,0%,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.7142857142857143,7,42.857142857142854%,14.285714285714285%,0.42857142857142855,1.2857142857142856
1259,14.285714285714285%,14.285714285714285%,0.7142857142857143,0.14285714285714285,1.5714285714285714,1.7142857142857142,7,14.285714285714285%,57.14285714285714%,0.8571428571428572,3.2857142857142856
1306,14.285714285714285%,0%,0.0,0.14285714285714285,0.0,0.0,7,28.57142857142857%,42.857142857142854%,0.14285714285714285,0.0
1675,0%,33.33333333333333%,0.8333333333333334,0.0,1.6666666666666667,2.0,6,16.666666666666664%,16.666666666666664%,0.8333333333333334,3.666666666666667
1714,0%,66.66666666666666%,0.16666666666666666,0.8333333333333334,3.0,0.3333333333333333,6,16.666666666666664%,66.66666666666666%,1.0,3.3333333333333335
1732,0%,0%,0.8,1.0,5.2,1.0,5,0%,60.0%,1.8,6.2
1792,20.0%,20.0%,0.2,0.6,2.2,1.2,5,0%,60.0%,0.8,3.4000000000000004
2062,0%,0%,0.42857142857142855,0.0,0.5714285714285714,1.5714285714285714,7,0%,71.42857142857143%,0.42857142857142855,2.142857142857143
2077,0%,0%,0.0,0.0,0.0,1.0,7,28.57142857142857%,42.857142857142854%,0.0,1.0
2194,0%,0%,0.0,0.8333333333333334,2.5,0.0,6,16.666666666666664%,50.0%,0.8333333333333334,2.5
2202,0%,37.5%,0.375,0.5,2.0,2.875,8,0%,87.5%,0.875,4.875
2358,0%,0%,0.42857142857142855,0.0,0.8571428571428571,2.4285714285714284,7,28.57142857142857%,28.57142857142857%,0.42857142857142855,3.2857142857142856
2506,14.285714285714285%,42.857142857142854%,0.8571428571428571,0.14285714285714285,0.5714285714285714,1.0,7,42.857142857142854%,57.14285714285714%,1.0,1.5714285714285714
2512,0%,0%,0.8333333333333334,0.0,1.1666666666666667,1.0,6,0%,83.33333333333334%,0.8333333333333334,2.166666666666667
2830,14.285714285714285%,57.14285714285714%,0.0,1.0,3.142857142857143,0.2857142857142857,7,14.285714285714285%,57.14285714285714%,1.0,3.4285714285714284
3067,0%,28.57142857142857%,0.14285714285714285,0.7142857142857143,2.2857142857142856,0.42857142857142855,7,28.57142857142857%,28.57142857142857%,0.8571428571428572,2.714285714285714
3197,0%,50.0%,0.16666666666666666,0.5,2.0,0.5,6,33.33333333333333%,33.33333333333333%,0.6666666666666666,2.5
3418,0%,0%,0.6666666666666666,0.0,1.0,2.6666666666666665,6,0%,66.66666666666666%,0.6666666666666666,3.6666666666666665
3596,0%,0%,0.0,1.0,0.8,0.8,5,40.0%,60.0%,1.0,1.6
4786,0%,71.42857142857143%,0.0,1.0,3.2857142857142856,1.2857142857142858,7,14.285714285714285%,57.14285714285714%,1.0,4.571428571428571
4787,0%,28.57142857142857%,0.0,0.5714285714285714,0.5714285714285714,0.8571428571428571,7,0%,57.14285714285714%,0.5714285714285714,1.4285714285714284
5096,0%,0%,0.125,0.125,0.375,0.875,8,25.0%,25.0%,0.25,1.25
5148,0%,0%,0.0,0.6666666666666666,3.0,0.8333333333333334,6,16.666666666666664%,16.666666666666664%,0.6666666666666666,3.8333333333333335
5822,14.285714285714285%,71.42857142857143%,0.0,0.7142857142857143,1.4285714285714286,1.0,7,0%,57.14285714285714%,0.7142857142857143,2.428571428571429
6017,0%,0%,0.125,0.5,1.25,2.875,8,12.5%,37.5%,0.625,4.125
6160,0%,0%,0.0,0.8333333333333334,1.8333333333333333,1.1666666666666667,6,0%,66.66666666666666%,0.8333333333333334,3.0
6223,16.666666666666664%,33.33333333333333%,0.0,1.0,1.1666666666666667,0.5,6,16.666666666666664%,33.33333333333333%,1.0,1.6666666666666667
6381,50.0%,0%,0.0,0.5,2.3333333333333335,0.8333333333333334,6,33.33333333333333%,33.33333333333333%,0.5,3.166666666666667
6421,0%,57.14285714285714%,0.7142857142857143,0.2857142857142857,0.42857142857142855,3.5714285714285716,7,28.57142857142857%,57.14285714285714%,1.0,4.0
6574,0%,0%,1.0,0.14285714285714285,2.5714285714285716,2.2857142857142856,7,0%,57.14285714285714%,1.1428571428571428,4.857142857142858
6643,25.0%,25.0%,0.0,0.625,0.5,0.375,8,50.0%,0%,0.625,0.875
7417,0%,0%,0.0,0.7142857142857143,0.0,4.142857142857143,7,0%,71.42857142857143%,0.7142857142857143,4.142857142857143
7900,0%,50.0%,0.0,0.16666666666666666,0.3333333333333333,0.8333333333333334,6,33.33333333333333%,33.33333333333333%,0.16666666666666666,1.1666666666666667
7915,0%,0%,0.14285714285714285,0.42857142857142855,1.0,1.8571428571428572,7,0%,42.857142857142854%,0.5714285714285714,2.857142857142857
8029,0%,57.14285714285714%,0.0,0.8571428571428571,0.14285714285714285,1.8571428571428572,7,28.57142857142857%,57.14285714285714%,0.8571428571428571,2.0
8096,0%,14.285714285714285%,1.2857142857142858,0.2857142857142857,1.7142857142857142,2.2857142857142856,7,28.57142857142857%,42.857142857142854%,1.5714285714285716,4.0
8122,33.33333333333333%,16.666666666666664%,0.8333333333333334,0.0,2.3333333333333335,2.1666666666666665,6,16.666666666666664%,66.66666666666666%,0.8333333333333334,4.5
8188,12.5%,25.0%,0.25,0.0,0.75,1.75,8,25.0%,50.0%,0.25,2.5
8531,0%,0%,0.0,0.5,0.0,3.0,6,16.666666666666664%,83.33333333333334%,0.5,3.0
